NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
1,UNIVERSITAS INDONESIA,3211015.0,PENDIDIKAN DOKTER,747.93,19.63,724.38,798.55,science
2,UNIVERSITAS AIRLANGGA,3811014.0,PENDIDIKAN DOKTER,726.94,21.29,702.54,808.01,science
3,UNIVERSITAS PADJADJARAN,3331013.0,PENDIDIKAN DOKTER,717.94,18.69,694.17,780.52,science
4,UNIVERSITAS GADJAH MADA,3611066.0,KEDOKTERAN,725.21,27.08,689.05,809.84,science
5,UNIVERSITAS INDONESIA,3211166.0,ILMU KOMPUTER,712.41,24.13,685.96,798.66,science
6,UNIVERSITAS DIPONEGORO,3551027.0,KEDOKTERAN,709.46,18.05,685.77,770.48,science
7,INSTITUT TEKNOLOGI BANDUNG,3321073.0,SEKOLAH TEK. ELEKTRO & INFORMATIKA (STEI),716.69,23.24,684.45,798.31,science
8,UNIVERSITAS BRAWIJAYA,3721085.0,PENDIDIKAN DOKTER,704.59,17.39,682.85,769.4,science
9,UNIVERSITAS INDONESIA,3211313.0,AKTUARIA,716.32,29.35,681.72,782.33,science
10,INSTITUT TEKNOLOGI BANDUNG,3321081.0,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS GANESA,710.97,23.27,680.99,772.1,science
11,UNIVERSITAS SEBELAS MARET,3531015.0,KEDOKTERAN,701.21,16.17,680.23,762.85,science
12,INSTITUT TEKNOLOGI BANDUNG,3321096.0,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),710.29,24.81,676.94,785.42,science
13,UNIVERSITAS JENDERAL SOEDIRMAN,3511107.0,PENDIDIKAN DOKTER,688.84,11.19,675.34,721.0,science
14,UNIVERSITAS JEMBER,3711133.0,PENDIDIKAN DOKTER,688.27,12.98,674.73,735.02,science
15,UNIVERSITAS UDAYANA,6111014.0,PENDIDIKAN DOKTER,691.51,17.88,674.04,754.71,science
16,UNIVERSITAS GADJAH MADA,3611194.0,STATISTIKA,688.41,16.74,669.68,740.11,science
17,UNIVERSITAS GADJAH MADA,3611503.0,ILMU AKTUARIA,685.55,18.22,665.53,732.55,science
18,INSTITUT TEKNOLOGI BANDUNG,3321042.0,FAKULTAS TEKNIK SIPIL & LINGKUNGAN (FTSL) - KAMPUS GANESA,693.77,22.62,665.04,765.28,science
19,INSTITUT TEKNOLOGI BANDUNG,3321107.0,SEK. ARSITEKTUR. PERENC & PENGEMB KEBIJAKAN,693.39,22.45,664.66,750.92,humanities
20,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821202.0,INFORMATIKA,686.33,20.38,663.89,757.62,science
21,UNIVERSITAS INDONESIA,3211232.0,ARSITEKTUR INTERIOR,681.69,13.46,663.43,716.9,humanities
22,UNIVERSITAS GADJAH MADA,3611492.0,TEKNOLOGI INFORMASI,685.93,19.02,663.34,749.7,science
23,UNIVERSITAS INDONESIA,3211182.0,TEKNIK INDUSTRI,690.3,19.63,663.3,734.8,science
24,UNIVERSITAS GADJAH MADA,3611372.0,TEKNIK KIMIA,690.04,22.55,662.78,775.68,science
25,UNIVERSITAS INDONESIA,3211127.0,TEKNIK METALURGI & MATERIAL,686.28,17.95,662.72,726.21,science
26,UNIVERSITAS GADJAH MADA,3611097.0,KEDOKTERAN GIGI,684.03,19.39,662.28,748.47,science
27,UNIVERSITAS GADJAH MADA,3611186.0,ILMU KOMPUTER,678.96,12.69,662.13,714.26,science
28,UNIVERSITAS INDONESIA,3211023.0,PENDIDIKAN DOKTER GIGI,683.56,21.14,661.58,741.96,science
29,UNIVERSITAS INDONESIA,3211093.0,TEKNIK SIPIL,687.76,21.64,661.36,759.18,science
30,UNIVERSITAS INDONESIA,3211224.0,SISTEM INFORMASI,686.5,17.69,661.04,733.93,science
31,UNIVERSITAS SRIWIJAYA,1711067.0,PENDIDIKAN DOKTER,676.76,13.28,660.96,764.86,science
32,UPN VETERAN JAKARTA,3241061,KEDOKTERAN,678.13,16.14,660.69,737.54,science
33,UNIVERSITAS INDONESIA,3211031.0,MATEMATIKA,685.03,22.56,660.52,745.11,science
