nama_prodi,name_university,type,rataan,min_val,max_val
PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,science,597.4752840909091,557.675,727.3
TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,science,587.723046875,540.15,701.0999999999999
TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,science,533.4067708333333,454.9,660.6999999999999
TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,science,544.3213541666665,448.3499999999999,729.925
ARSITEKTUR,UNIVERSITAS SYIAH KUALA,science,545.4963541666666,504.79999999999995,617.3
TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,science,512.8524390243902,370.15,600.425
AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,science,547.2933333333332,413.625,773.9749999999999
AGRIBISNIS,UNIVERSITAS SYIAH KUALA,science,554.7901041666667,434.375,773.9749999999999
PETERNAKAN,UNIVERSITAS SYIAH KUALA,science,497.6875,450.79999999999995,595.675
TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,science,476.40833333333336,421.275,524.425
TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,science,493.49166666666656,429.17499999999995,640.275
PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,science,482.8096774193549,386.875,579.775
PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,science,501.4798076923077,433.0,579.725
PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,science,482.42249999999996,427.32499999999993,565.9499999999999
PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,science,509.15,440.325,577.125
PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,science,662.1979166666666,631.4499999999999,780.1499999999999
ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,science,499.6224576271186,377.375,599.75
PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,science,604.5770833333332,588.55,648.8249999999999
MATEMATIKA,UNIVERSITAS SYIAH KUALA,science,492.41111111111104,400.4,561.575
FISIKA,UNIVERSITAS SYIAH KUALA,science,486.84038461538455,377.375,549.675
KIMIA,UNIVERSITAS SYIAH KUALA,science,536.4305555555555,475.9,667.3
BIOLOGI,UNIVERSITAS SYIAH KUALA,science,502.00648148148144,382.825,605.125
ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,science,508.68928571428575,433.4,567.9
BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,science,488.2555555555556,461.09999999999997,536.525
TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,science,511.2994791666666,442.04999999999995,623.925
INFORMATIKA,UNIVERSITAS SYIAH KUALA,science,567.63125,530.025,730.75
FARMASI,UNIVERSITAS SYIAH KUALA,science,566.8552083333333,538.2249999999999,625.15
TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,science,514.1333333333333,429.62499999999994,604.75
TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,science,515.6822916666666,475.125,579.125
STATISTIKA,UNIVERSITAS SYIAH KUALA,science,558.578125,513.5,643.9749999999999
PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,science,486.1549999999999,440.44999999999993,517.65
ILMU TANAH,UNIVERSITAS SYIAH KUALA,science,461.83181818181816,413.07499999999993,510.04999999999995
TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,science,498.24499999999995,444.69999999999993,542.45
AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,science,457.75833333333327,444.525,482.07499999999993
PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,science,472.16249999999997,460.85,483.4749999999999
KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,science,436.66249999999997,426.65,446.67499999999995
PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,science,513.7153846153846,446.025,641.0
PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,science,554.5333333333333,524.8249999999999,599.3249999999999
KEHUTANAN,UNIVERSITAS SYIAH KUALA,science,489.87976190476195,444.3499999999999,569.55
TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,science,511.16624999999993,448.075,646.3
EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,humanities,564.127265625,507.2299999999999,628.3349999999999
MANAJEMEN,UNIVERSITAS SYIAH KUALA,humanities,546.34328125,490.09,640.2349999999999
AKUNTANSI,UNIVERSITAS SYIAH KUALA,humanities,532.8660483870966,444.4549999999999,741.5649999999999
ILMU HUKUM,UNIVERSITAS SYIAH KUALA,humanities,511.1020283018867,384.17999999999995,653.64
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,humanities,492.93466666666666,409.15,578.295
PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,humanities,506.70437499999997,432.705,669.1049999999999
PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,humanities,466.44375,423.69999999999993,502.995
PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,humanities,488.2795833333333,449.49999999999994,559.1299999999999
PENDIDIKAN BAHASA DAN  SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,humanities,498.38800000000003,446.385,565.265
PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,humanities,512.115,405.745,617.05
PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,humanities,454.88624999999996,430.635,482.32499999999993
PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,humanities,471.52937499999996,404.775,543.5
PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,humanities,469.50199999999995,423.69999999999993,517.7049999999999
BIMBINGAN KONSELING,UNIVERSITAS SYIAH KUALA,humanities,514.3299999999999,459.08,617.05
PENDIDIKAN GURU SEKOLAH DASAR,UNIVERSITAS SYIAH KUALA,humanities,480.2449999999999,407.81499999999994,560.285
PSIKOLOGI,UNIVERSITAS SYIAH KUALA,humanities,523.0696875,469.4,602.875
ILMU POLITIK,UNIVERSITAS SYIAH KUALA,humanities,515.36,429.745,620.165
SOSIOLOGI,UNIVERSITAS SYIAH KUALA,humanities,468.9644444444444,412.04499999999996,515.36
ILMU KOMUNIKASI,UNIVERSITAS SYIAH KUALA,humanities,497.6279999999999,423.84999999999997,589.465
PENDIDIKAN GURU PAUD,UNIVERSITAS SYIAH KUALA,humanities,483.48999999999995,405.745,543.5
ILMU PEMERINTAHAN,UNIVERSITAS SYIAH KUALA,humanities,495.119375,433.15999999999997,553.9549999999999
EKONOMI ISLAM,UNIVERSITAS SYIAH KUALA,humanities,525.135,433.4,614.43
MANAJEMEN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,humanities,518.4875,465.97,571.005
TEKNIK SIPIL,UNIVERSITAS MALIKUSSALEH,science,530.5624999999999,407.92499999999995,663.25
TEKNIK MESIN,UNIVERSITAS MALIKUSSALEH,science,529.3,432.54999999999995,657.55
TEKNIK KIMIA,UNIVERSITAS MALIKUSSALEH,science,530.0482142857143,433.525,688.625
TEKNIK ELEKTRO,UNIVERSITAS MALIKUSSALEH,science,523.8196428571429,453.0,658.25
TEKNIK INDUSTRI,UNIVERSITAS MALIKUSSALEH,science,506.5874999999999,425.22499999999997,625.25
TEKNIK INFORMATIKA,UNIVERSITAS MALIKUSSALEH,science,488.42499999999995,413.625,555.025
TEKNIK ARSITEKTUR,UNIVERSITAS MALIKUSSALEH,science,505.70781249999993,419.025,632.9749999999999
AGROEKOTEKNOLOGI,UNIVERSITAS MALIKUSSALEH,science,491.78,413.07499999999993,596.75
AGRIBISNIS,UNIVERSITAS MALIKUSSALEH,science,468.24038461538464,413.04999999999995,525.75
BUDIDAYA PERAIRAN,UNIVERSITAS MALIKUSSALEH,science,466.86428571428576,413.04999999999995,544.1
