NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
52,INSTITUT TEKNOLOGI BANDUNG,3321065,SEKOLAH ILMU & TEKNO. HAYATI - PROG. SAINS,672.96,18.69,653.36,733.1,unknown
81,INSTITUT TEKNOLOGI BANDUNG,3321123,SEKOLAH ILMU & TEKNO HAYATI - PROG REKAYASA,664.06,13.84,645.62,704.3,unknown
82,UNIVERSITAS GADJAH MADA,3611341,PERENCANAAN WILAYAH DAN KOTA,665.49,17.44,645.43,733.79,unknown
89,UNIVERSITAS RIAU,1311191,PEND. DOKTER,658.77,17.44,643.01,720.68,unknown
103,UNIVERSITAS GADJAH MADA,3611213,ELEKTRONIKA DAN INSTRUMENTASI,665.27,19.16,638.37,713.91,unknown
121,UNIVERSITAS AIRLANGGA,3811037,PENDIDIKAN APOTEKER,657.01,16.24,634.27,724.26,unknown
127,UNIVERSITAS TANJUNGPURA,5111207,PEND. DOKTER,655.37,18.42,632.65,708.53,unknown
135,UNIVERSITAS GADJAH MADA,3611051,PEMBANGUNAN WILAYAH,654.73,17.49,631.43,691.19,unknown
149,UNIVERSITAS GADJAH MADA,3611043,KARTOGRAFI DAN PENGINDERAAN JAUH,653.27,24.97,628.7,755.56,unknown
162,UNIVERSITAS AIRLANGGA,3811134,TEKNOBIOMEDIK,641.1,14.16,626.44,681.49,unknown
184,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821167,PERENCANAAN WILAYAH DAN KOTA,644.58,19.25,622.84,716.95,unknown
189,UNIVERSITAS GADJAH MADA,3611074,ILMU KEPERAWATAN,639.24,11.7,621.74,665.79,unknown
191,UNIVERSITAS INDONESIA,3211151,ILMU KEPERAWATAN,637.92,15.62,621.33,699.72,unknown
208,UNIVERSITAS DIPONEGORO,3551221,PERENCANAAN WILAYAH DAN KOTA,636.73,16.22,618.25,704.93,unknown
212,UNIVERSITAS SEBELAS MARET,3531166,PERENCANAAN WILAYAH DAN KOTA (PWK),633.35,14.14,618.0,666.7,unknown
233,INSTITUT PERTANIAN BOGOR,3411331,EKONOMI PEMBANGUNAN,636.29,14.59,615.1,672.88,unknown
237,INSTITUT PERTANIAN BOGOR,3411435,METEOROLOGI TERAPAN,635.37,14.26,614.73,672.35,unknown
254,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821322,DESAIN KOMUNIKASI VISUAL,631.14,14.4,611.86,661.87,unknown
255,UNIVERSITAS GADJAH MADA,3611244,ILMU TANAH,634.33,19.76,611.86,701.92,unknown
262,UNIVERSITAS BRAWIJAYA,3721197,PERENCANAAN WILAYAH & KOTA,625.25,11.7,610.89,677.43,unknown
267,UNIVERSITAS GADJAH MADA,3611221,AGRONOMI,626.65,16.85,610.6,676.66,unknown
274,UNIVERSITAS GADJAH MADA,3611476,HIGIENE GIGI,623.33,16.01,608.76,657.94,unknown
